id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
5355385,Music,,5/12/2023,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,None of the experiential learning activities I participated in at UM were helpful.
5355386,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Bachelors,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355387,Wildlife Biology,,5/10/2024,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Ecology & Evol,,,,,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project"
5355388,Elementary Education,,5/12/2023,,College of Education,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355389,Forestry,,5/12/2023,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355390,Journalism~Global Leadership,Journalism,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Environmental Journalism,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355391,Music~Music,Music,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355392,Music,,5/10/2024,Bachelors,College of the Arts and Media,Male,Latino(a),23-May,5/1/2023,submitted,Continuing Education,,,,,,,,Northwestern University,Masters,Music Performance,,,,,,,This position exceeds my expectations,None of the above,,
5355393,Marketing,Business Management,5/12/2023,Bachelors,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5355394,Elementary Education~Elementary Certification,Elementary Education,5/10/2024,,College of Education,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355395,Ecosystem Science & Restorat,"Fish and Wildlife Biology, Wildlife Biology",5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Montana Conservation Corps,Environmental Services,Organization,Full-Time,Environmental / Sustainability Mgmt,Western Wildland Restoration ,,,,,,,24000,Monthly Stipend,,3000,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355396,Social Work,,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355397,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/12/2023,Bachelors,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355398,Ecosystem Science & Restorat~Geographic Information Systems,Ecosystem Science & Restorat,5/10/2024,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,National Park Service,Natural Resources,Organization,Full-Time,Environmental / Sustainability Mgmt,Biological science technician,,,,,,,39520,Hourly Wage,0,0,This position fails to meet my expectations,"Study abroad or study away program, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,None of the experiential learning activities I participated in at UM were helpful.
5355399,Forestry,,5/10/2024,Bachelors,College of Forestry & Conserv,Male,Latino(a),23-May,5/1/2023,submitted,Working,USDA Forest Service,Natural Resources,Organization,Full-Time,Environmental / Sustainability Mgmt,Wildland Firefighter,Yes,,,,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355400,Wildlife Biology,,5/10/2024,,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355401,Art,,5/10/2024,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355402,Communication Studies,,5/12/2023,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355403,Economics,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,economic,,,,,,,No opinion,None of the above,,
5355404,Multidisciplinary Studies,,5/10/2024,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355405,Music,,5/12/2023,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Rochester,Masters,Music performance and literature ,,,,,,,This position exceeds my expectations,None of the above,,
5355406,Management & Entrepreneurship,,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355407,Music,,5/10/2024,Bachelors,College of the Arts and Media,Male,Latino(a),23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355408,Music~Music,Music,5/12/2023,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355409,Management Information Systems,,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355410,Forestry,,5/10/2024,Bachelors,College of Forestry & Conserv,Female,Native Hawaiian/Pacific Islander,23-May,5/1/2023,submitted,Working,State of Montana - Department of Natural Resources and Conservation (DNRC),"Government - Local, State & Federal",Temporary/Contract Work Assignment,Full-Time,Environmental / Sustainability Mgmt,Forestry Technician,Yes,,,,,,41600,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355411,Ecosystem Science & Restorat,,5/12/2023,,College of Forestry & Conserv,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355412,Enviro Sci and Sustainability,,5/12/2023,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355413,Communication Studies,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355414,Journalism~Global Leadership,Journalism,5/10/2024,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana Marketing and Communications,Higher Education,Organization,Full-Time,Marketing - Brand Management,Photography Intern,Yes,,,,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Study abroad or study away program, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355415,Environmental Studies~Global Leadership,Environmental Studies,5/12/2023,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355416,Sociology~Forensic Studies,Sociology,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Youth Homes,Non-Profit - Other,Organization,Full-Time,Community & Social Services,Full-Time Youth Counselor,Yes,,,,,,33280,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5355417,Wildlife Biology~Dance,Wildlife Biology,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Pet Emergency Center,Animal & Wildlife,Organization,Full-Time,Veterinary / Animal Care,Veterinary Assistant,,,,,,,29120,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)"
5355418,Media Arts,,5/10/2024,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355419,Sociology~Psychology~Forensic Studies,Sociology,5/13/2022,Certificate,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Missoula Correctional Services,Non-Profit - Other,Organization,Full-Time,Community & Social Services,Internship,Yes,,,,,,31200,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Study abroad or study away program, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355420,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/12/2023,Bachelors,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355421,Music,,5/10/2024,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Spark1,Manufacturing,Organization,Full-Time,Quality Assurance,Bud Trimmer,,,,,,,37440,Hourly Wage,,,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5355422,Management & Entrepreneurship,,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355423,Music~Secondary Certification,Music,5/12/2023,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355424,Finance,,5/10/2024,Bachelors,College of Business,Male,,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355425,Finance,,5/10/2024,,College of Business,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355426,Management & Entrepreneurship~Marketing~Entertainment Management,Management & Entrepreneurship,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Fundid,Financial Services,Organization,Full-Time,Finance,Credit Analyst,Yes,,,,,,50000,Annual Salary,0,6000,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355427,Psychology~Commun Sci & Disorders,Psychology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Honeybear Daycare Center Inc.,Other Education,Organization,Full-Time,Education / Teaching / Training,Teaching Aide,Yes,,,,,,,Hourly Wage,,,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355428,Geosciences~Geographic Information Systems,Geosciences,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355429,Wildlife Biology~Global Leadership,Wildlife Biology,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355430,Public Health,,5/12/2023,Bachelors,College of Health,Female,Latino(a),23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355431,Wildlife Biology~Global Leadership,Wildlife Biology,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana,Higher Education,Temporary/Contract Work Assignment,Full-Time,Lab Work/Science,Field Technician,,,,,,,28080,Hourly Wage,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Study abroad or study away program, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355432,Biology~Pre-Medical Sciences,Biology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Continuing Education,,,,,,No opinion,"Study abroad or study away program, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Study abroad or study away program, Work with a faculty member on a research project"
5355433,Political Science,,5/10/2024,,College Humanities & Sciences,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355434,Cloud Computing,,5/13/2022,Certificate,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355435,Neuroscience,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,DAWSON COMMUNITY COLLEGE,,,,,,,,,,,,
5355436,Psychology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355437,Accounting~Entertainment Management,Accounting,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,PricewaterhouseCoopers (PwC),Accounting,Organization,Full-Time,Consulting,Business Process Consultant,,,,,,,78000,Annual Salary,5000,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355438,Integrative Physiology,,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,BOISE STATE UNIVERSITY,,,,,,,,,,,,
5355439,Management & Entrepreneurship,,5/10/2024,,College of Business,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355440,Enviro Sci and Sustainability,,5/10/2024,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Study abroad or study away program, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Study abroad or study away program"
5355441,"Parks, Tourism &Rec Management",Ecological Restoration,5/12/2023,Bachelors,College of Forestry & Conserv,Female,,23-May,5/1/2023,submitted,Working,USDA Forest Service,"Government - Local, State & Federal",Organization,Full-Time,Maintenance/Skilled Laborer,Forestry Technician - Recreation,,,,,,,31200,Hourly Wage,,,This position fails to meet my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355442,"Parks, Tourism &Rec Management",,5/10/2024,Masters,College of Forestry & Conserv,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355443,Finance,,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355444,Business Administration~Business Administration,Business Administration,5/1/2027,Masters,College of Business,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355445,Political Science,Nonprofit Administration,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Work with a faculty member on a research project, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism)"
5355446,Social Work,,5/10/2024,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355447,Japanese,,5/10/2024,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355448,Anthropology,,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355449,Counselor Education,,5/10/2024,Masters,College of Education,Female,Native American/Alaskan Native,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355450,Music,,5/10/2024,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355451,Biology,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355452,Computer Science,,5/10/2024,Bachelors,College Humanities & Sciences,Male,,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355453,Finance~Entertainment Management,Finance,5/10/2024,,College of Business,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355454,Sociology~Pre-Law,Sociology,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355455,Journalism,,5/10/2024,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,ABC FOX Montana,"Journalism, Media & Publishing",Freelancer,Full-Time,Other,Sports Reporter,,,,,,,27000,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355456,Social Work,,5/10/2024,,College of Health,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355457,Elementary Education~Elementary Certification,Elementary Education,5/10/2024,Non-Degree Seeking,College of Education,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355458,Journalism,,12/16/2022,Associates,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355459,Commun Sci & Disorders,,5/10/2024,Bachelors,College of Health,Female,,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Speech ,,,,,,,No opinion,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355460,Computer Science,,5/10/2024,,College Humanities & Sciences,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355461,Sociology~Pre-Law,Sociology,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355462,Journalism,Communication Studies,5/10/2024,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,CIG Public Relations,"Advertising, PR & Marketing",Organization,Full-Time,"Advertising, Media & PR",Associate,,,,,,,50000,Annual Salary,,,No opinion,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355463,"Parks, Tourism &Rec Management",,5/10/2024,,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355464,Computer Science,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,TrailWest Bank,Commercial Banking & Credit,Organization,Full-Time,Information Technology,IT Support Specialist,Yes,,,,,,43680,Hourly Wage,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355465,Art,,5/10/2024,High School,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355466,Management Information Systems,,5/10/2024,Associates,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,commonFont,Management Consulting,Organization,Full-Time,Consulting,Solutions Consultant,,,,,,,60000,Annual Salary,0,18000,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355467,German,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,The Arc of Western Montana,Social Assistance,Organization,Full-Time,Healthcare Services,House Manager,Yes,,,,,,41995.2,Hourly Wage,1000,,This position exceeds my expectations,"First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",No,"First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)"
5355468,Wildlife Biology,"French, Mathematics",5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,"Montana Fish, Wildlife and Parks",Animal & Wildlife,Organization,Full-Time,Research,Elk Research Assistant,Yes,,,,,,48000,Annual Salary,0,0,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Study abroad or study away program, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355469,Psychology~Pre-Medical Sciences,Psychology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355470,Marketing,,5/10/2024,,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355471,Biology~Forensic Studies,Biology,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,George Mason University,Masters,Forensic biology ,,,,,,,This position meets my expectations,Learning community or other formal program in which one group of students takes two or more classes together,No,None of the experiential learning activities I participated in at UM were helpful.
5355472,Ecosystem Science & Restorat,,5/10/2024,,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355473,Psychology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Missoula Family YMCA,Non-Profit - Other,Organization,Full-Time,Counseling,Lead counselor,Yes,,,,,,31241.6,Hourly Wage,0,0,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355474,Finance,,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355475,Journalism~English,Journalism,5/12/2023,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355476,Music~Secondary Certification~Music,Music,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,,,,
5355477,Finance,,5/10/2024,Bachelors,College of Business,Male,,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355478,Sociology~Forensic Studies,Sociology,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355479,Political Science~Sociology,Political Science,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355480,Psychology,,5/10/2024,,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355481,Political Science~Pre-Law,Political Science,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2024,submitted,Working,Missoula County Clerk & Treasurer,"Government - Local, State & Federal",Organization,Full-Time,Community & Social Services,clerk and recorder ,Yes,,,,,,37440,Hourly Wage,,,This position meets my expectations,None of the above,,
5355482,Theatre,,5/10/2024,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Not Seeking,,,,,,,,,,,,Taking time off,,,,,This position meets my expectations,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",No,None of the experiential learning activities I participated in at UM were helpful.
5355483,Resource Conservation,,5/10/2024,,College of Forestry & Conserv,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
